Price,qm2,Description
1200 €,100 m²,4-Zimmer-Wohnung|MünchenUntergiesing-Harlaching|E
1600 €,65 m²,"3-Zimmer-Wohnung|MünchenSendling|Schmied-Kochel-Strasse,6"
1650 €,70 m²,3-Zimmer-Wohnung|MünchenBergamLaim|Mühldorfstr.39
1025 €,52 m²,2-Zimmer-Wohnung|MünchenRamersdorf-Perlach|UnterhachingerStr.33a
1700 €,65 m²,3-Zimmer-Wohnung|MünchenBogenhausen|Buschingstraße11
1290 €,30 m²,2-Zimmer-Wohnung|MünchenBergamLaim|Kreillerst.
1200 €,70 m²,2-Zimmer-Wohnung|MünchenMaxvorstadt|Adalbertstraße68
1100 €,50 m²,2-Zimmer-Wohnung|MünchenBogenhausen|AnderTuchbleiche3
1500 €,75 m²,3-Zimmer-Wohnung|MünchenMoosach|Meggendorferstraße87
1800 €,77 m²,2-Zimmer-Wohnung|MünchenNeuhausen-Nymphenburg|Volkartstr.
1305 €,62 m²,2-Zimmer-Wohnung|MünchenSchwabing-Freimann|Herzogstrasse86
2040 €,100 m²,3-Zimmer-Wohnung|MünchenMilbertshofen-AmHart|Spitzerstraße14
1800 €,61 m²,2-Zimmer-Wohnung|MünchenNeuhausen-Nymphenburg|Franziska-Schmitz-Straße1
1490 €,55 m²,2-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Dreimühlenstraße25
1700 €,65 m²,2-Zimmer-Wohnung|MünchenAubing-Lochhausen-Langwied|Kriegerstrasse42
1350 €,64 m²,2-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|St-Paul-Str.
1590 €,70 m²,3-Zimmer-Wohnung|MünchenMoosach|HanauerStr.8b
1700 €,75 m²,3-Zimmer-Wohnung|MünchenUntergiesing-Harlaching|Elilandstraße
1800 €,70 m²,3-Zimmer-Wohnung|MünchenBogenhausen|Fritz-Meyer-Weg31
1500 €,65 m²,"2,5-Zimmer-Wohnung|MünchenAu-Haidhausen|Auerfeldstraße10"
1340 €,48 m²,2-Zimmer-Wohnung|MünchenUntergiesing-Harlaching|UntereWeidenstraße99
1300 €,69 m²,3-Zimmer-Wohnung|MünchenPasing-Obermenzing|Bodenseestraße
1100 €,55 m²,2-Zimmer-Wohnung|MünchenBogenhausen|Möhlstr44
1650 €,79 m²,"2,5-Zimmer-Wohnung|MünchenBogenhausen|Englschalkingerstr140"
1400 €,48 m²,2-Zimmer-Wohnung|MünchenAu-Haidhausen|Gaisbergstrasse12
1674 €,46 m²,"1,5-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Goethestraße30"
1290 €,30 m²,2-Zimmer-Wohnung|MünchenBergamLaim|Kreillerst.
35 €,14 m²,1-Zimmer-Wohnung|MünchenPasing-Obermenzing|Paul-Gerhardt-Allee0
1850 €,65 m²,2-Zimmer-Wohnung|MünchenMoosach|Franz-Fihl-Str.5
670 €,12 m²,3-Zimmer-Wohnung|MünchenAu-Haidhausen|Aignerstrasse2
750 €,30 m²,1-Zimmer-Wohnung|MünchenSchwabing-Freimann|Kunigundenstraße5
1345 €,44 m²,2-Zimmer-Wohnung|MünchenLerchenau|Waldmeisterstraße
1630 €,56 m²,3-Zimmer-Wohnung|MünchenLerchenau|Waldmeisterstraße
1240 €,59 m²,2-Zimmer-Wohnung|MünchenBergamLaim|NeumarkterStraße6
2200 €,89 m²,3-Zimmer-Wohnung|MünchenBogenhausen|Neherstr.7
2000 €,64 m²,2-Zimmer-Wohnung|MünchenHerzogpark02.12.202229....|Kufsteinerstrasse6
1320 €,56 m²,2-Zimmer-Wohnung|MünchenThalkirchen-Obersendling-...|HöglwörtherStr.361
1260 €,95 m²,3-Zimmer-Wohnung|MünchenAubing-Lochhausen-Langwied|alprichstrasse
800 €,39 m²,"1,5-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Lindwurmstraße"
70 €,50 m²,"2-Zimmer-Wohnung|MünchenMaxvorstadt|DachauerStraße,87"
1950 €,70 m²,2-Zimmer-Wohnung|MünchenSolln|GaratshausenerStraße8
1850 €,65 m²,"2,5-Zimmer-Wohnung|MünchenMaxvorstadt|Augustenstraße1"
1250 €,73 m²,2-Zimmer-Wohnung|MünchenGiesing|Schlierseestr.
2540 €,68 m²,2-Zimmer-Wohnung|MünchenSendling|Lipowskystraße10b
2000 €,80 m²,"2,5-Zimmer-Wohnung|MünchenBergamLaim|Halserspitzstr.18-20"
1450 €,60 m²,2-Zimmer-Wohnung|MünchenAu-Haidhausen|Steinstraße
1650 €,50 m²,2-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Baldestrasse4
805 €,45 m²,2-Zimmer-Wohnung|MünchenObergiesing-Fasangarten|Weißenseestraße
1150 €,48 m²,2-Zimmer-Wohnung|MünchenMünchen|Rablstr.36
1600 €,59 m²,2-Zimmer-Wohnung|MünchenGiesing|PerlacherStr.119
1200 €,42 m²,2-Zimmer-Wohnung|MünchenNeuhausen-Nymphenburg|Trivastraße
1500 €,47 m²,"1,5-Zimmer-Wohnung|MünchenNeuhausen-Nymphenburg|Eisnergutbogen9"
1080 €,18 m²,2-Zimmer-Wohnung|MünchenBergamLaim|Kreillerstraße
3125 €,103 m²,4-Zimmer-Wohnung|MünchenAubing-Lochhausen-Langwied|Toni-Berger-Str.11
1369 €,37 m²,"1,5-Zimmer-Wohnung|MünchenGlockenbach|Körnerstraße"
1100 €,56 m²,2-Zimmer-Wohnung|MünchenMaxvorstadt|Sandstrasse
1363 €,57 m²,2-Zimmer-Wohnung|MünchenSendling|Euckenstr.N
1908 €,70 m²,2-Zimmer-Wohnung|MünchenSchwabing-West|Adelheidstraße27
1950 €,63 m²,2-Zimmer-Wohnung|MünchenSchwanthalerhöhe|Kazmairstraße33
1700 €,75 m²,3-Zimmer-Wohnung|MünchenLudwigsvorstadt-Isarvorstadt|Holzstrasse
830 €,45 m²,2-Zimmer-Wohnung|MünchenAu-Haidhausen|näheKolumbusplatz
995 €,47 m²,2-Zimmer-Wohnung|MünchenPasing-Obermenzing|Haberlandstraße
1690 €,63 m²,2-Zimmer-Wohnung|MünchenForstenried/Solln|SeeshaupterStraße15
3240 €,78 m²,2-Zimmer-Wohnung|MünchenMaxvorstadt|BarerStraße58a
1800 €,60 m²,"2,5-Zimmer-Wohnung|MünchenAu-Haidhausen|Auerfeldstr.8"
